area_code,area,item_code,item,element,year,unit,value,_source,_domain
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2010,kcal/cap/d,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2011,kcal/cap/d,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2012,kcal/cap/d,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2013,kcal/cap/d,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2014,kcal/cap/d,0.05,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2015,kcal/cap/d,0.04,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2016,kcal/cap/d,0.07,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2017,kcal/cap/d,0.09,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2018,kcal/cap/d,0.08,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2019,kcal/cap/d,0.06,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2020,kcal/cap/d,0.06,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2021,kcal/cap/d,0.06,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2022,kcal/cap/d,0.06,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2010,kg/cap,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2011,kg/cap,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2012,kg/cap,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2013,kg/cap,0.0,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2014,kg/cap,0.05,bulk,FBS_BULK
