area_code,area,item_code,item,element,year,unit,value,_source,_domain
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2014,kcal/cap/d,161.73,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2015,kcal/cap/d,157.42,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2015,kcal/cap/d,157.42,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2016,kcal/cap/d,157.52,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2016,kcal/cap/d,157.52,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2017,kcal/cap/d,162.5,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2017,kcal/cap/d,162.5,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2018,kcal/cap/d,158.34,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2018,kcal/cap/d,158.34,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2019,kcal/cap/d,168.13,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2019,kcal/cap/d,168.13,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2020,kcal/cap/d,160.9,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2020,kcal/cap/d,160.9,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2021,kcal/cap/d,153.64,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2021,kcal/cap/d,153.64,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2022,kcal/cap/d,151.35,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2022,kcal/cap/d,151.35,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2010,kg/cap,71.53,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2010,kg/cap,71.53,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2011,kg/cap,68.42,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2011,kg/cap,68.42,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2012,kg/cap,76.97,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2012,kg/cap,76.97,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2013,kg/cap,72.79,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2013,kg/cap,72.79,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2014,kg/cap,80.82,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2014,kg/cap,80.82,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2015,kg/cap,78.26,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2015,kg/cap,78.26,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2016,kg/cap,80.75,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2016,kg/cap,80.75,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2017,kg/cap,82.79,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2017,kg/cap,82.79,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2018,kg/cap,80.63,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2018,kg/cap,80.63,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2019,kg/cap,87.51,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2019,kg/cap,87.51,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2020,kg/cap,78.91,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2020,kg/cap,78.91,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2021,kg/cap,76.27,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2021,kg/cap,76.27,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2022,kg/cap,74.54,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply quantity (kg/capita/yr),2022,kg/cap,74.54,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2010,kcal/cap/d,16.35,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2010,kcal/cap/d,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2011,kcal/cap/d,19.21,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2011,kcal/cap/d,0.01,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2012,kcal/cap/d,17.27,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2012,kcal/cap/d,0.01,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2013,kcal/cap/d,17.36,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2013,kcal/cap/d,0.01,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2014,kcal/cap/d,14.36,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2014,kcal/cap/d,0.35,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2015,kcal/cap/d,13.53,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2015,kcal/cap/d,0.53,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2016,kcal/cap/d,14.32,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2016,kcal/cap/d,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2017,kcal/cap/d,13.94,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2017,kcal/cap/d,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2018,kcal/cap/d,13.56,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2018,kcal/cap/d,0.16,bulk,FBS_BULK
