area_code,area,item_code,item,element,year,unit,value,_source,_domain
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2015,kcal/cap/d,1.42,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2016,kcal/cap/d,1.7,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2017,kcal/cap/d,1.7,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2018,kcal/cap/d,1.8,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2019,kcal/cap/d,1.67,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2020,kcal/cap/d,1.72,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2021,kcal/cap/d,2.42,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2022,kcal/cap/d,2.49,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2010,kg/cap,1.77,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2011,kg/cap,1.65,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2012,kg/cap,1.64,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2013,kg/cap,1.67,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2014,kg/cap,1.71,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2015,kg/cap,1.46,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2016,kg/cap,1.88,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2017,kg/cap,1.57,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2018,kg/cap,1.81,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2019,kg/cap,1.98,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2020,kg/cap,2.15,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2021,kg/cap,2.22,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply quantity (kg/capita/yr),2022,kg/cap,2.19,bulk,FBS_BULK
'328,Guyana,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2019,kcal/cap/d,0.01,bulk,FBS_BULK
'328,Guyana,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2020,kcal/cap/d,0.01,bulk,FBS_BULK
'328,Guyana,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2021,kcal/cap/d,0.01,bulk,FBS_BULK
'328,Guyana,2769,"Aquatic Animals, Others",Food supply (kcal/capita/day),2022,kcal/cap/d,0.01,bulk,FBS_BULK
